#{"t_start": 1775328281.5124178, "env_id": "None"}
r,l,t
9.887305,30,2.103693
4.034301,30,2.140593
8.936524,30,2.150637
5.105728,30,2.186964
3.569186,30,2.198046
1.128473,30,2.214182
6.807169,30,2.235752
4.660636,30,2.252931
3.174068,30,2.268229
7.728992,30,2.278884
6.49938,30,2.310865
9.384165,30,2.325951
9.212983,30,2.335999
1.910743,30,2.351689
5.223916,30,2.406202
1.885931,30,2.428986
9.9863,30,2.465668
5.938439,30,2.497012
9.749589,30,2.497012
6.907753,30,2.528813
9.339964,30,2.546908
6.167163,30,2.560714
7.24947,30,2.580429
9.450307,30,2.595614
7.00476,30,2.613948
10.234646,30,2.629761
3.785125,30,2.63754
4.698697,30,2.66286
7.744923,30,2.677709
8.712805,30,2.701851
4.66033,30,2.725852
11.60363,30,2.736855
4.581392,30,2.768533
5.905744,30,2.800264
4.16268,30,2.828516
4.796092,30,2.853777
3.424212,30,2.869281
4.90637,30,2.895634
1.918712,30,2.928196
8.137049,30,2.949804
1.313438,30,2.980455
10.594728,30,2.997533
7.133825,30,3.01419
5.946291,30,3.03039
6.077031,30,3.047225
7.273353,30,3.062291
9.993949,30,3.080115
7.349729,30,3.083875
7.225046,30,3.113818
6.250185,30,3.133936
6.441348,30,3.136936
9.696301,30,3.152706
2.953244,30,3.178073
10.274166,30,3.184637
6.546768,30,3.216413
5.470815,30,3.231944
4.398876,30,3.246882
8.06249,30,3.262763
5.148323,30,3.278067
6.270039,30,3.300968
5.422129,30,3.320094
5.553455,30,3.341236
2.188705,30,3.360847
6.649139,30,3.376531
10.267268,30,3.409104
9.323954,30,3.446779
2.4887,30,3.466914
7.962336,30,3.492195
9.062416,30,5.364943
6.335539,30,5.408699
5.925582,30,5.445237
4.01702,30,5.48223
1.110079,30,5.525495
8.778776,30,5.579458
8.736533,30,5.628588
6.681625,30,5.67644
1.5591,30,5.729022
3.486925,30,5.768544
10.558125,30,5.828675
6.102472,30,5.872343
8.981765,30,5.914043
3.150337,30,5.953787
4.660691,30,5.994385
2.272757,30,6.030304
7.787644,30,6.063583
1.335631,30,6.103816
9.067209,30,6.132152
7.170251,30,6.156337
9.118468,30,6.186854
10.250563,30,6.213216
5.370155,30,6.253289
6.821687,30,6.279382
7.293925,30,6.298878
5.421108,30,6.325927
5.757948,30,6.355854
4.922647,30,6.391937
1.228991,30,6.421297
6.84778,30,6.449893
3.72134,30,6.482658
4.325924,30,6.51179
9.509602,30,6.529049
5.272274,30,6.552193
5.325924,30,6.568914
9.52427,30,6.590643
1.66619,30,6.617215
0.022154,30,6.652259
2.47973,30,6.669683
5.51424,30,6.701204
6.81349,30,6.717087
4.638457,30,6.747874
7.478259,30,6.775831
1.066879,30,6.804872
5.057308,30,6.828165
2.086488,30,6.851839
6.254033,30,6.883193
9.088234,30,6.916891
8.242439,30,6.950387
4.353993,30,6.97096
8.737154,30,6.999227
7.659719,30,7.034797
6.870608,30,7.058919
5.475453,30,7.090175
8.526938,30,7.122699
3.476803,30,7.158864
4.002786,30,7.184988
10.61017,30,7.206547
9.325151,30,7.232387
5.887003,30,7.271976
